coh,gEIN,gEEN,gIE,acc,dt1,dt2,dt,peak1,peak2,noise_E,noise_I,seed
15.0,0.13,0.165,1.3,2,1704.6,,1704.6,33.02474817603669,5.107634706356806,2.4,2.4,A01
15.0,0.13,0.165,1.3,2,1704.6000000000001,,1704.6000000000001,33.02474817603669,5.107634706356806,2.4,2.4,A01
