coh,gEIN,acc,dt1,dt2,dt,peak1,peak2,noise_E,noise_I,seed
15.0,0.13,1,1597.6000000000001,,1597.6000000000001,33.80248976709387,5.9912437567857,2.4,2.4,A01
15.0,0.13,1,1488.3000000000002,,1488.3000000000002,32.13289723273326,6.542550257148602,2.4,2.4,A02
15.0,0.12675,1,1261.9,,1261.9,37.43997147465727,6.03485389014924,2.4,2.4,A01
15.0,0.12675,0,1438.0000000000002,1261.1000000000001,1261.1000000000001,17.579204171467026,25.860651680893497,2.4,2.4,A02
